Date,Load,Temperature,Dew Point,Humidity,Wind Speed,Pressure,Precipitation
1022020,45972,25.1,16.2,58.5,8.3,1010.8,0
2022020,41718,26.1,17.3,60.2,9.3,1012.7,0
3022020,50254,24.9,19.7,73.2,8.7,1012.5,0
4022020,50351,25.1,15,54.5,9.5,1011.9,0
5022020,49277,25.4,12.6,46.1,9.8,1011.6,0
6022020,48726,24.7,10.6,42.3,10.5,1011.5,0
7022020,47490,23.8,12.2,50.1,11.1,1013,0
8022020,45567,25.6,14.2,49.6,14.6,1012.6,0
9022020,41392,27.1,14.1,45,14.5,1012.2,0
10022020,51491,28.6,17,49.6,12.7,1011.1,0
11022020,54564,29,18.1,52.1,8.6,1012.1,0
12022020,56257,29.3,18,50.7,9.6,1013.7,0
13022020,57072,29.5,15.7,43.8,9.1,1013,0
14022020,57240,29.5,13.5,37.8,10.7,1011.2,0
15022020,53400,27.9,11.5,37.4,11.2,1011.1,0
16022020,46967,27.7,15.8,49,8.3,1011.4,0
17022020,57358,29.9,16.8,46.8,8.9,1011.8,0
18022020,58897,30.6,15.8,42.1,8.8,1011.4,0
19022020,58525,29.4,17.1,48.7,8.8,1010.3,0
20022020,58891,28.7,16.8,50.5,10.3,1010.5,0
21022020,55500,27.8,16.1,49.6,10.3,1012.9,0
22022020,53476,28.8,14.9,43.3,8.8,1013,0
23022020,47806,28.9,13.8,40.7,8,1011.4,0
24022020,56916,28.3,15.1,46.5,9.7,1009.5,0
25022020,57183,31.3,6.5,21.7,9.6,1009.5,0
26022020,57297,31.2,7.7,23.7,12.3,1009.7,0
27022020,57855,29.8,9.7,30,9.4,1009.7,0
28022020,57803,28.7,12.9,38.9,9.9,1008.2,0
29022020,55897,28.5,15.8,48.4,11.5,1008.8,0
1032020,48872,27.7,16.8,52,10,1009.4,0
2032020,57065,26.7,19.9,67,9.5,1010.2,0
3032020,57589,26.8,19,62.6,11.6,1010.7,0
4032020,56630,26,19.5,67.4,11.9,1010.4,0
5032020,56326,26.5,19.4,64.9,13.8,1009.1,0
6032020,56510,26.7,18.8,62,12.5,1009.6,0
7032020,52884,25.8,17.2,58.9,12.4,1011.5,0
8032020,45622,25.9,16.6,57.1,10.5,1010.9,0
9032020,53497,26.1,19.5,67.1,10.5,1009.9,0
10032020,44061,26.5,19,63.5,11.2,1010,0
11032020,53758,26.2,16.9,57,11.4,1011,0
12032020,53553,25.3,16,56.8,12,1012.7,0
13032020,51748,25.4,12.8,46.1,13.7,1012.6,0
14032020,48624,27.1,11.8,41,10.7,1009.8,0
15032020,44702,29.6,11.1,32.9,9.1,1008.8,0
16032020,55175,30.6,12.1,32.8,8,1009.8,0
17032020,57018,30.4,13.9,37.1,8.5,1010.4,0
18032020,57160,29.9,16.7,47.3,9,1010.7,0
19032020,55874,28.6,17.3,52.8,9.2,1010.5,0
20032020,54115,27.3,20,64.7,11.8,1010.7,0
21032020,46750,27,20.7,68.7,12.4,1010.7,0
22032020,41729,28.3,21.5,68.4,11.6,1010,0
23032020,43062,29.9,20.6,58.3,10.4,1008.5,0
24032020,43111,30.1,22.3,64.1,8.7,1006.6,0
25032020,43303,29.6,23.4,69.3,9,1007.1,0
26032020,43757,29.7,23.6,70.5,10,1008.4,0
27032020,43242,29.5,21.9,64.5,11.6,1010,0
28032020,41250,30.1,17.5,48.1,12.1,1009.3,0
29032020,40731,30.5,17.6,46.5,9.1,1007.8,0
30032020,41445,29.4,19.4,55.7,9.5,1008.6,0
31032020,41402,29.6,20.1,59.1,11.8,1009.8,0
1042020,41540,29.4,21.4,62.8,10.2,1008.6,0
2042020,42073,30.1,21.8,63,11.3,1007.3,0
3042020,43338,30.1,22.2,64.2,11.6,1007.8,0
4042020,43471,29.7,23.5,70.7,10.4,1008.3,0
5042020,42863,29.5,23.5,71.3,10.3,1009.4,0
6042020,43318,28.7,24.2,77.4,10.8,1010.1,0
7042020,43223,28.4,23.4,75,9.8,1009.2,0
8042020,42258,28.4,22.5,70.2,10.1,1010.5,0
9042020,42252,28.9,23,71,10.5,1009.4,0
10042020,42908,29.7,23.9,72.1,12.4,1009.2,0
11042020,44067,30.5,24.1,69.3,10.4,1009.6,0
12042020,45113,30.2,25.5,76.8,9.5,1008.9,0
13042020,46416,30.1,25.4,76.5,10.9,1007.8,0
14042020,46337,31.1,24.7,69.1,10.1,1007.7,0
15042020,47495,30.8,24.9,71.2,9.7,1008.4,0
16042020,47798,30.4,25.4,75.3,12.1,1007.9,0
17042020,47697,30.3,25.4,75.6,9.8,1007.6,0
18042020,47693,30.8,25.2,72.8,11.7,1007.9,0
19042020,47709,31.6,25.1,69,10.5,1007.3,0
20042020,48843,33.2,19.8,47.7,13.2,1006.7,0
21042020,48597,30.7,23.8,67.5,10.4,1008,0
22042020,48895,30.6,25,71.9,9.3,1007.2,0
23042020,49175,30.7,25.1,72.1,9.6,1007.1,0
24042020,49330,31,24.9,70.7,12,1006.6,0
25042020,47680,30.5,23.6,66.6,10,1007.6,0
26042020,46284,30.3,23.9,68.8,12.3,1008,0
27042020,47427,30.2,23.8,68.7,12.1,1009.1,0
28042020,48909,31,25.3,71.7,10.7,1007,0
