Date,Slot,Load,Temperature,Humidity
01012017,0,1718,0,0
01012017,1,1575,0,0
01012017,2,1518,0,0
01012017,3,1458,0,0
01012017,4,1455,0,0
01012017,5,1503,0,0
01012017,6,1545,0,0
01012017,7,1582,0,0
01012017,8,1648,0,0
01012017,9,1788,0,0
01012017,10,1858,0,0
01012017,11,1921,0,0
01012017,12,1898,0,0
01012017,13,1828,0,0
01012017,14,1780,0,0
01012017,15,1741,0,0
01012017,16,1726,0,0
01012017,17,1757,0,0
01012017,18,1965,0,0
01012017,19,2049,0,0
01012017,20,2040,0,0
01012017,21,2019,0,0
01012017,22,1903,0,0
01012017,23,1802,0,0
02012017,0,1614,0,0
02012017,1,1491,0,0
02012017,2,1426,0,0
02012017,3,1382,0,0
02012017,4,1398,0,0
02012017,5,1510,0,0
02012017,6,1666,0,0
02012017,7,1845,0,0
02012017,8,2083,0,0
02012017,9,2444,0,0
02012017,10,2594,0,0
02012017,11,2652,0,0
02012017,12,2626,0,0
02012017,13,2532,0,0
02012017,14,2544,0,0
02012017,15,2554,0,0
02012017,16,2550,0,0
02012017,17,2492,0,0
02012017,18,2523,0,0
02012017,19,2476,0,0
02012017,20,2400,0,0
02012017,21,2207,0,0
02012017,22,2026,0,0
02012017,23,1796,0,0
03012017,0,1665,0,0
03012017,1,1531,0,0
03012017,2,1460,0,0
03012017,3,1422,0,0
03012017,4,1417,0,0
03012017,5,1572,0,0
03012017,6,1726,0,0
03012017,7,1932,0,0
03012017,8,2123,0,0
03012017,9,2431,0,0
03012017,10,2643,0,0
03012017,11,2658,0,0
03012017,12,2602,0,0
03012017,13,2501,0,0
03012017,14,2524,0,0
03012017,15,2533,0,0
03012017,16,2542,0,0
03012017,17,2518,0,0
03012017,18,2562,0,0
03012017,19,2523,0,0
03012017,20,2388,0,0
03012017,21,2241,0,0
03012017,22,2042,0,0
03012017,23,1871,0,0
04012017,0,1647,0,0
04012017,1,1515,0,0
04012017,2,1450,0,0
04012017,3,1403,0,0
04012017,4,1414,0,0
04012017,5,1534,0,0
04012017,6,1728,0,0
04012017,7,1964,0,0
04012017,8,2150,0,0
04012017,9,2486,0,0
04012017,10,2580,0,0
04012017,11,2618,0,0
04012017,12,2609,0,0
04012017,13,2480,0,0
04012017,14,2514,0,0
04012017,15,2508,0,0
04012017,16,2510,0,0
04012017,17,2477,0,0
04012017,18,2559,0,0
04012017,19,2511,0,0
04012017,20,2331,0,0
04012017,21,2220,0,0
04012017,22,1986,0,0
04012017,23,1837,0,0
05012017,0,1631,0,0
05012017,1,1506,0,0
05012017,2,1413,0,0
05012017,3,1371,0,0
05012017,4,1388,0,0
05012017,5,1489,0,0
05012017,6,1741,0,0
05012017,7,1860,0,0
05012017,8,2178,0,0
05012017,9,2364,0,0
05012017,10,2586,0,0
05012017,11,2598,0,0
05012017,12,2561,0,0
05012017,13,2452,0,0
05012017,14,2472,0,0
05012017,15,2489,0,0
05012017,16,2486,0,0
05012017,17,2462,0,0
05012017,18,2519,0,0
05012017,19,2473,0,0
05012017,20,2347,0,0
05012017,21,2177,0,0
05012017,22,2000,0,0
05012017,23,1838,0,0
06012017,0,1635,0,0
06012017,1,1465,0,0
06012017,2,1421,0,0
06012017,3,1372,0,0
06012017,4,1383,0,0
06012017,5,1493,0,0
06012017,6,1753,0,0
06012017,7,1864,0,0
06012017,8,2188,0,0
06012017,9,2373,0,0
06012017,10,2604,0,0
06012017,11,2639,0,0
06012017,12,2591,0,0
06012017,13,2453,0,0
06012017,14,2448,0,0
06012017,15,2433,0,0
06012017,16,2433,0,0
06012017,17,2405,0,0
06012017,18,2484,0,0
06012017,19,2452,0,0
06012017,20,2291,0,0
06012017,21,2160,0,0
06012017,22,1943,0,0
06012017,23,1824,0,0
07012017,0,1594,0,0
07012017,1,1464,0,0
07012017,2,1388,0,0
07012017,3,1354,0,0
07012017,4,1371,0,0
07012017,5,1465,0,0
07012017,6,1642,0,0
07012017,7,1780,0,0
07012017,8,2010,0,0
07012017,9,2262,0,0
07012017,10,2417,0,0
07012017,11,2464,0,0
07012017,12,2445,0,0
07012017,13,2294,0,0
07012017,14,2293,0,0
07012017,15,2253,0,0
07012017,16,2245,0,0
07012017,17,2226,0,0
07012017,18,2297,0,0
07012017,19,2354,0,0
07012017,20,2316,0,0
07012017,21,2051,0,0
07012017,22,1948,0,0
07012017,23,1724,0,0
08012017,0,1621,0,0
08012017,1,1461,0,0
08012017,2,1391,0,0
08012017,3,1341,0,0
08012017,4,1344,0,0
08012017,5,1435,0,0
08012017,6,1528,0,0
08012017,7,1575,0,0
08012017,8,1712,0,0
08012017,9,1867,0,0
08012017,10,1962,0,0
08012017,11,1975,0,0
08012017,12,1950,0,0
08012017,13,1881,0,0
08012017,14,1793,0,0
08012017,15,1738,0,0
08012017,16,1730,0,0
08012017,17,1778,0,0
08012017,18,1947,0,0
08012017,19,2036,0,0
08012017,20,2032,0,0
08012017,21,1982,0,0
08012017,22,1836,0,0
08012017,23,1719,0,0
09012017,0,1549,0,0
09012017,1,1393,0,0
09012017,2,1337,0,0
09012017,3,1312,0,0
09012017,4,1326,0,0
09012017,5,1441,0,0
09012017,6,1729,0,0
09012017,7,1864,0,0
09012017,8,2195,0,0
09012017,9,2366,0,0
09012017,10,2576,0,0
09012017,11,2581,0,0
09012017,12,2527,0,0
09012017,13,2405,0,0
09012017,14,2402,0,0
09012017,15,2390,0,0
09012017,16,2392,0,0
09012017,17,2360,0,0
09012017,18,2411,0,0
09012017,19,2387,0,0
09012017,20,2312,0,0
09012017,21,2080,0,0
09012017,22,1961,0,0
09012017,23,1701,0,0
10012017,0,1541,0,0
10012017,1,1409,0,0
10012017,2,1342,0,0
10012017,3,1298,0,0
10012017,4,1322,0,0
10012017,5,1458,0,0
10012017,6,1696,0,0
10012017,7,1867,0,0
10012017,8,2072,0,0
10012017,9,2350,0,0
10012017,10,2486,0,0
10012017,11,2513,0,0
10012017,12,2453,0,0
10012017,13,2297,0,0
10012017,14,2319,0,0
10012017,15,2308,0,0
10012017,16,2329,0,0
10012017,17,2325,0,0
10012017,18,2399,0,0
10012017,19,2392,0,0
10012017,20,2261,0,0
10012017,21,2087,0,0
10012017,22,1865,0,0
10012017,23,1665,0,0
11012017,0,1454,0,0
11012017,1,1355,0,0
11012017,2,1292,0,0
11012017,3,1261,0,0
11012017,4,1277,0,0
11012017,5,1420,0,0
11012017,6,1677,0,0
11012017,7,1873,0,0
11012017,8,2033,0,0
11012017,9,2325,0,0
11012017,10,2428,0,0
11012017,11,2453,0,0
11012017,12,2394,0,0
11012017,13,2282,0,0
11012017,14,2303,0,0
11012017,15,2288,0,0
11012017,16,2302,0,0
11012017,17,2291,0,0
11012017,18,2393,0,0
11012017,19,2364,0,0
11012017,20,2185,0,0
11012017,21,2024,0,0
11012017,22,1820,0,0
11012017,23,1643,0,0
12012017,0,1416,0,0
12012017,1,1290,0,0
12012017,2,1228,0,0
12012017,3,1194,0,0
12012017,4,1216,0,0
12012017,5,1360,0,0
12012017,6,1647,0,0
12012017,7,1793,0,0
12012017,8,2099,0,0
12012017,9,2248,0,0
12012017,10,2398,0,0
12012017,11,2404,0,0
12012017,12,2328,0,0
12012017,13,2238,0,0
12012017,14,2247,0,0
12012017,15,2247,0,0
12012017,16,2257,0,0
12012017,17,2250,0,0
12012017,18,2235,0,0
12012017,19,2301,0,0
12012017,20,2155,0,0
12012017,21,2037,0,0
12012017,22,1801,0,0
12012017,23,1633,0,0
13012017,0,1391,0,0
13012017,1,1302,0,0
13012017,2,1249,0,0
13012017,3,1222,0,0
13012017,4,1243,0,0
13012017,5,1346,0,0
13012017,6,1641,0,0
13012017,7,1780,0,0
13012017,8,2076,0,0
13012017,9,2305,0,0
13012017,10,2461,0,0
13012017,11,2478,0,0
13012017,12,2436,0,0
13012017,13,2322,0,0
13012017,14,2315,0,0
13012017,15,2318,0,0
13012017,16,2319,0,0
13012017,17,2309,0,0
13012017,18,2360,0,0
13012017,19,2346,0,0
13012017,20,2219,0,0
13012017,21,2046,0,0
13012017,22,1824,0,0
13012017,23,1700,0,0
14012017,0,1456,0,0
14012017,1,1351,0,0
14012017,2,1291,0,0
14012017,3,1250,0,0
14012017,4,1272,0,0
14012017,5,1382,0,0
14012017,6,1518,0,0
14012017,7,1711,0,0
14012017,8,1887,0,0
14012017,9,2148,0,0
14012017,10,2278,0,0
14012017,11,2284,0,0
14012017,12,2274,0,0
14012017,13,2129,0,0
14012017,14,2112,0,0
14012017,15,2096,0,0
14012017,16,2079,0,0
14012017,17,2064,0,0
14012017,18,2219,0,0
14012017,19,2283,0,0
14012017,20,2191,0,0
14012017,21,2069,0,0
14012017,22,1905,0,0
14012017,23,1694,0,0
15012017,0,1547,0,0
