TIME MSPGCL GEN.,,,,CPP / IPP,,,,Mum.,MSEDCL,LOAD,MSEDCL,,,
"",,,,,,CS,CS,,,,,MUMBAI,STATE,FREQ.
SR.,TOTAL,,WIND,,SOLAR,,,NET,DEM.,SHEDDI,DEM.,,,
"",,,,,,SHARE,RECPT,,,,,DEMAND,DEMAND,(Hz)
NO. THM HY GAS,,,,THM GAS,,,,EXCH.,MET,NG,WITH LS,,,
1 5134 198 282,5614,,825,3714 0,0,5753,5989,-1070,15072,0,15072,1883,16954,49.99
2 5378 88 281,5746,,816,3722 0,0,5640,5666,-952,14998,0,14998,1767,16766,49.95
3 5373 98 283,5754,,675,3719 0,0,5659,5726,-865,15008,0,15008,1679,16688,49.98
4 5085 88 292,5464,,618,3689 0,0,5715,5591,-814,14548,0,14548,1629,16178,50.01
5 5106 92 282,5480,,545,3703 0,0,6046,6124,-800,15052,0,15052,1614,16666,49.99
6 5703 98 273,6074,,574,3973 0,0,6284,6609,-849,16380,0,16380,1665,18046,49.99
7 5997 118 293,6408,,500,4508 0,10,6849,6746,-760,17412,0,17412,1737,19148,50.01
8 6047 686 292,7024,,495,4602 0,133,6689,6724,-583,18396,0,18396,1883,20278,49.98
9 5999 1486 282,7768,,319,4597 0,442,6408,6334,-818,18642,0,18642,2118,20760,50.01
10 6024 1622 271,7918,,364,4596 0,709,6504,6444,-1022,19008,0,19008,2384,21392,49.96
11 5969 1532 269,7770,,548,4598 0,871,6822,6889,-1132,19544,0,19544,2571,22116,49.98
12 5963 1276 268,7508,,587,4594 0,978,7160,7228,-1170,19724,0,19724,2636,22360,49.99
13 5955 554 267,6776,,535,4602 0,978,7243,7134,-1139,18886,0,18886,2609,21496,49.99
14 5808 308 267,6384,,503,4508 0,881,7365,7158,-1116,18318,0,18318,2518,20836,50.05
15 5771 364 267,6402,,383,4495 0,771,7606,7771,-1128,18694,0,18694,2541,21234,50.03
16 5820 516 267,6602,,324,4502 0,514,7715,7691,-1063,18570,0,18570,2524,21094,49.98
17 5844 970 258,7072,,269,4517 0,232,6895,6566,-801,17856,0,17856,2462,20318,49.99
18 5914 1062 269,7244,,283,4592 0,33,6032,5872,-760,17264,0,17264,2462,19726,50.00
19 5978 730 270,6978,,318,4584 0,1,5953,5807,-859,16828,0,16828,2521,19350,50.04
20 5671 448 291,6410,,412,4352 0,0,5948,6067,-787,16454,0,16454,2462,18916,50.02
21 5880 260 271,6412,,400,4140 0,0,5790,5080,-853,15178,0,15178,2344,17522,50.03
22 5842 98 282,6222,,536,3883 0,0,5606,5224,-1023,14842,0,14842,2204,17046,50.01
23 5630 100 281,6010,,764,3668 0,0,5640,5377,-1080,14740,0,14740,2093,16832,50.00
24 5201 90 291,5582,,893,3677 0,0,5573,5488,-1103,14536,0,14536,1999,16536,50.03
137.0,,,,,,,,,,,,,,
MUs 12.88 6.65,156.62,,12.49 101.54,0.00,6.55,152.90,151.30,-22.55,405.95,0.00,405.95,52.31,458.26,50.00
9,,,,,,,,,,,,,,
NOTE : ALL VALUES IN MW,,,,,,,,,,,,,,
