# Epoch, Batch Size, MSE
1.0, 4.0, 0.3672929108142853
1.0, 12.0, 0.3682977855205536
1.0, 16.0, 0.4220355451107025
1.0, 32.0, 0.39712271094322205
1.0, 64.0, 0.3490335941314697
1.0, 256.0, 0.3548697829246521
1.0, 512.0, 0.357485830783844
1.0, 1024.0, 0.35191383957862854
1.0, 2048.0, 0.3482532799243927
5.0, 4.0, 0.33760589361190796
5.0, 12.0, 0.34517475962638855
5.0, 16.0, 0.34577134251594543
5.0, 32.0, 0.33957967162132263
5.0, 64.0, 0.34683072566986084
5.0, 256.0, 0.3492330312728882
5.0, 512.0, 0.34464097023010254
5.0, 1024.0, 0.3423740565776825
5.0, 2048.0, 0.34052956104278564
10.0, 4.0, 0.4224281907081604
10.0, 12.0, 0.3605615496635437
10.0, 16.0, 0.33633187413215637
10.0, 32.0, 0.33525097370147705
10.0, 64.0, 0.3346669375896454
10.0, 256.0, 0.3371172547340393
10.0, 512.0, 0.3362654447555542
10.0, 1024.0, 0.33655285835266113
10.0, 2048.0, 0.332939088344574
25.0, 4.0, 0.33142340183258057
25.0, 12.0, 0.33612552285194397
25.0, 16.0, 0.36465948820114136
25.0, 32.0, 0.3430235981941223
25.0, 64.0, 0.35169535875320435
25.0, 256.0, 0.34955281019210815
25.0, 512.0, 0.346108078956604
25.0, 1024.0, 0.339356005191803
25.0, 2048.0, 0.3456414043903351
50.0, 4.0, 0.3530820608139038
50.0, 12.0, 0.3557812571525574
50.0, 16.0, 0.34515783190727234
50.0, 32.0, 0.35370001196861267
50.0, 64.0, 0.34656018018722534
50.0, 256.0, 0.35130661725997925
50.0, 512.0, 0.34506353735923767
50.0, 1024.0, 0.3503187298774719
50.0, 2048.0, 0.34574541449546814
100.0, 4.0, 0.36729732155799866
100.0, 12.0, 0.36658957600593567
100.0, 16.0, 0.3475271761417389
100.0, 32.0, 0.3561078608036041
100.0, 64.0, 0.35292190313339233
100.0, 256.0, 0.3478338420391083
100.0, 512.0, 0.34718820452690125
100.0, 1024.0, 0.3466297686100006
100.0, 2048.0, 0.3484945595264435
